itemID,itemKey,itemType,dateAdded,dateModified,title,abstractNote,date,publisher,place,volume,numberOfVolumes,edition,series,seriesNumber,numPages,pages,ISBN,ISSN,url,accessDate,language,shortTitle,libraryCatalog,callNumber,archiveLocation,rights,extra,publicationTitle,bookTitle,websiteTitle,university,creators,collections
1270,SXD4B49D,book,"2020-02-17 00:27:34","2020-02-17 00:27:57","Workers Library",,"1997-00-00 1997",SupportEdition,Berlin,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8388417,,English,,,"N7433.4.K666 W67 1997","Art Library",,,,,,,"Svetlana, 1950- Kopystiansky; Johannesburg Biennale","Artists' Books Collection"
1271,MA9INPTR,book,"2020-02-17 00:26:47","2020-02-17 00:27:12","Exhibition of paintings : 2nd Johannesburg Biennale, Johannesburg Art Gallery, 1997",,"1997-00-00 1997",SupportEdition,Berlin,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8388416,,English,,,"N7433.4.K665 E9 1997","Art Library",,,,,,,"Igor, 1954- Kopystiansky; Johannesburg Art Gallery; Johannesburg Biennale (2nd : 1997)","Artists' Books Collection"
1272,R9JKNNTF,book,"2020-02-17 00:26:05","2020-02-17 00:26:28","Columbart manifesto = Kolumbart manifest",,"1991-00-00 1991",Popoogay,"New York",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8388414,,English,,,"N7433.4.S528 C6 1991","Art Library",,,,,,,"Alexander, 1955- Shnurov","Artists' Books Collection"
1273,H2WKQPEC,book,"2020-02-17 00:24:45","2020-02-17 00:25:18","Portrait of Stalin on the one hundredth anniversary of his birth",,"1979-00-00 1979","[publisher not identified]","Moscow ; New York",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8388405,,English,,,"N7433.4.B168 P6 1979","Art Library",,,,,,,"Vagrich Bakhchani͡an","Artists' Books Collection"
1275,A5KQ5AWI,book,"2020-02-17 00:24:09","2020-02-17 00:24:29","Top secret art : catalogue #25 tank",,"1981-00-00 1981","Cremona Foundation","Mechanicsville, MD",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8388397,,French,,,"N7433.4.B168 T67 1981","Art Library",,,,,,,"Vagrich (Artist) Bakhchani͡an; Cremona Foundation","Artists' Books Collection"
1276,JJ89FVXX,book,"2020-02-17 00:23:29","2020-02-17 00:23:49","El gran salto",,"2015-00-00 2015","Pachuk Cartonera","Pachuca de Soto, Hidalgo, [Mexico]",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8380449,,Spanish,,,"N7433.4.M3753 G8 2015","Art Library",,,,,,,"Miguel Ángel Martínez Monter; Betsabe Ramírez Gonzáles","Artists' Books Collection"
1277,PEZCBAXL,book,"2020-02-17 00:19:31","2020-02-17 00:19:55","Yo, mi desconocida",,"2015-00-00 2015","Ediciones El Fortín","[Bellamar, Cuba]",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8346482,,Spanish,,,"N7433.4.E76 Y6 2015","Art Library",,,,,,,"Digdora, 1921-2007 Alonso; Rolando, 1953- Estévez Jordán","Artists' Books Collection"
1278,ZKRPUPYF,book,"2020-02-17 00:19:07","2020-02-17 00:19:19","Los ciclos de nadie : antología personal",,"2013-00-00 2013","Ediciones Vigía","Matanzas, Cuba",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8346723,,Spanish,,,"N7433.4.C355 C53 2013","Art Library",,,,,,,"Carlos, 1968- Esquivel Guerra; Abdel de la Campa Escaig; Ediciones Vigía","Artists' Books Collection"
1279,TXTGKXWI,book,"2020-02-17 00:18:28","2020-02-17 00:18:50","La llorona",,"2015-00-00 2015","Ediciones Vigía","Matanzas - Cuba",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8346501,,Spanish,,,"N7433.4.V35 L47 2015","Art Library",,,,,,,"Margaret, 1919- Randall; Elizabeth Valero; María Vázquez Valdez","Artists' Books Collection"
1280,WAG5YMVB,book,"2020-02-17 00:17:43","2020-02-17 00:18:00","Cuchillos en el aire = Knives in the air",,"2015-00-00 2015","Ediciones Vigía","Matanzas, Cuba",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8346489,,Spanish,,,"N7433.4.T79 C83 2015","Art Library",,,,,,,"Alfredo, 1956- Zaldívar; Johann E. Trujillo; Peter, 1951- Boyle","Artists' Books Collection"
1281,4KC653VI,book,"2020-02-17 00:16:57","2020-02-17 00:17:21","Body art : (para otras lecturas del cuerpo)",,"2015-00-00 2015","Ediciones El Fortín","Bellamar, Cuba",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8346483,,Spanish,,,"N7433.4.E78 B6 2015","Art Library",,,,,,,"Maylan, 1978- Álvarez Rodríguez; Rolando, 1953- Estévez Jordán","Artists' Books Collection"
1282,QB2D8NBC,book,"2020-02-17 00:16:19","2020-02-17 00:16:30","Con duro polvo de óleo",,"2014-00-00 2014","Ediciones El Fortín","Bellamar, Cuba",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8346487,,Spanish,,,"N7433.4.E76 C65 2014","Art Library",,,,,,,"Rolando, 1953- Estévez Jordán","Artists' Books Collection"
1283,KZX8VCMS,book,"2020-02-17 00:13:24","2020-02-17 00:13:38",Eternidad,,"2015-00-00 2015","Ediciones El Fortín","Bellamar, Cuba",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8346496,,Spanish,,,"N7433.4.E76 E82 2015","Art Library",,,,,,,"Dulce María, 1902-1997 Loynaz; Rolando, 1953- Estévez Jordán; Pedro Enrique Pérez Oliva; El Fortín (Firm)","Artists' Books Collection"
1284,FGRUGE47,book,"2020-02-17 00:12:47","2020-02-17 00:13:10","Las silabas del agua = The syllables of water",,"2013-00-00 2013","Ediciones Vigía","Matanzas, Cuba",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8346490,,Spanish,,,"N7433.4.R58 S59 2013","Art Library",,,,,,,"Adianes Ponce; Héctor R. Rivero; Agustina Ponce; Ediciones Vigía","Artists' Books Collection"
1286,J33A3J84,book,"2020-02-17 00:12:05","2020-02-17 00:12:20","Lydia Cabrera en su laguna sagrada",,"2015-00-00 2015","Ediciones Vigía","Matanzas, Cuba",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8346721,,Spanish,,,"N7433.4.V34 L9 2015","Art Library",,,,,,,"Natalia Bolívar Aróstegui; Natalia del, 1962- Río Bolívar; Frank David Valdés; Ediciones Vigía","Artists' Books Collection"
1287,995P6QUW,book,"2020-02-17 00:11:22","2020-02-17 00:11:46","Dos poetas judíos = two poets",,"2014-00-00 2014","Ediciones El Fortín","Bellamar, Cuba",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8346493,,Spanish,,,"N7433.4.F65 D6","Art Library 2014",,,,,,,"Marjorie Agosín; Yaacov Glantz; El Fortín (Firm)","Artists' Books Collection"
1288,IWRB82F7,book,"2020-02-17 00:10:57","2020-02-17 00:11:10","Canción de redención",,"2015-00-00 2015","Ediciones Vigía","Matanzas, Cuba",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8346481,,Spanish,,,"N7433.4.R55 C27 2015","Art Library",,,,,,,"Bob Marley; Marialva Ríos; Ediciones Vigía","Artists' Books Collection"
1289,BL68LT7T,book,"2020-02-17 00:10:25","2020-02-17 00:10:45","Soy una histérica",,"2013-00-00 2013","[publisher not identified]",[Mexico],,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8328672,,Spanish,,,"N7433.4.S37 S73 2013","Art Library",,,,,,,"Milly Sánchez Sánchez","Artists' Books Collection"
1290,M7RMZLZB,book,"2020-02-17 00:09:47","2020-02-17 00:10:25","Inappropriate repetitions",,"2012-00-00 2012",Redfoxpress,"Dugort, Achill Island, Ireland",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8293495,,English,,,"N7433.4.B5765 I63 2012","Art Library",,,,,,,"Katrien de, 1969- Blauwer; Redfoxpress","Artists' Books Collection"
1291,P7YABPLP,book,"2020-02-17 00:09:04","2020-02-17 00:09:47","I do not want to disappear silently into the night",,"2014-00-00 2014","AVARIE, Artbooks Vuoti A Rendere International Edition",[Paris],,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8293528,,English,,,"N7433.4.B5765 I36 2014","Art Library",,,,,,,"Katrien de, 1969- Blauwer; Giuliana Prucca","Artists' Books Collection"
1292,ZW5QLLA7,book,"2020-02-17 00:08:32","2020-02-17 00:08:49","Here comes kitty : a comic opera",,"2015-00-00 2015",Siglio,"Los Angeles, California",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8278148,,English,,,"N7433.4.K72 H47 2015","Art Library",,,,,,,"Richard (Richard Jacob) Kraft; Danielle, 1975- Dutton; Ann, 1942- Lauterbach","Artists' Books Collection"
1293,ASFMZ2DQ,book,"2020-02-17 00:07:53","2020-02-17 00:08:13","Tomorrow's man 2",,"2014-00-00 2014","Bywater Bros. Editions","[Toronto, Ontario]",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8278208,,English,,,"TR680 .P534 2014","Art Library",,,,,,,"Jack, 1960- Pierson; Roger Bywater","Artists' Books Collection"
1294,3HXRSQYY,book,"2020-02-17 00:07:10","2020-02-17 00:07:34",Versus,,"2014-00-00 2014","RM Verlag",[Madrid],,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8257169,,English,,,"TR655 .J56 2014 v.2","Art Library",,,,,,,"David, 1970- Jiménez","Artists' Books Collection"
1295,AS9A8WPX,book,"2020-02-17 00:06:03","2020-02-17 00:06:59",Versus,,"2014-00-00 2014","RM Verlag",[Madrid],,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8257169,,English,,,"TR655 .J56 2014 v.1","Art Library",,,,,,,"David, 1970- Jiménez","Artists' Books Collection"
1296,G86DKCWU,book,"2020-02-17 00:05:21","2020-02-17 00:05:34",Calavera,,"2013-00-00 2013","[M. F. Wlathe]","México",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8254089,,Spanish,,,"N7433.4.W59 C35 2013","Art Library",,,,,,,"M. F., 1986- Wlathe","Artists' Books Collection"
1297,4PV2MFMU,book,"2020-02-17 00:04:31","2020-02-17 00:05:06","A penny for your thoughts = Dime lo que piensas",,"2011-00-00 2011","miCielo Ediciones","Ciudad de México",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8253862,,English,,,"N7433.4.G35 P64 2011","Art Library",,,,,,,"Paola Garcés; Madeline Millán; miCielo Ediciones","Artists' Books Collection"
1298,R3M2HHTY,book,"2020-02-17 00:03:56","2020-02-17 00:04:18","AntiDoctos : concentrados de sabiduría popular.",,"2012-00-00 2012","miCielo Ediciones","Ciudad de México",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8253846,,Spanish,,,"N7433.4.A1 A66 2012","Art Library",,,,,,,"miCielo Ediciones","Artists' Books Collection; Fall 2021 display -- Care and Wellness"
1299,DIYUMX8C,book,"2020-02-17 00:03:26","2020-02-17 00:03:42","Hyenas of the battlefield : machines in the garden",,"2014-00-00 2014","Gost Books",London,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8210043,,English,,,"TR820.5 .B376 2014","Art Library",,,,,,,"Lisa, 1967- Barnard","Artists' Books Collection"
1300,4FFBUX6B,book,"2020-02-17 00:02:44","2020-02-17 00:03:07","Recordar el camino",,"2014-00-00 2014",Kerber,Bielefeld,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8249094,,"Multiple languages",,,"N7433.4.L84 R43 2014","Art Library",,,,,,,"Hugo, 1974- Lugo; Jorge, 1968- Volpi Escalante; Marcela Quiroz","Artists' Books Collection"
1301,DC6A375B,book,"2020-02-17 00:00:50","2020-02-17 00:01:16","Your land/my land : election '12",,"2015-00-00 2015","[Gavin Brown's Enterprise]","[New York]",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8249150,,English,,,"N7433.4.H66 Y6 2015","Art Library",,,,,,,"Jonathan, 1966- Horowitz","Artists' Books Collection"
1302,2N4EKVGN,book,"2020-02-17 00:00:08","2020-02-17 00:00:36","Shirana Shahbazi : monstera",,"2014-00-00 2014",JRP/Ringier,Zurich,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8249132,,English,,,"TR655 .S435 2014","Art Library",,,,,,,"Shirana, 1974- Shahbazi; Manuel Krebs; Kunsthalle Bern","Artists' Books Collection"
1303,C6W4ITFU,book,"2020-02-16 23:59:33","2020-02-16 23:59:47","Guaton Loyola vs. the world",,"2014-00-00 2014",[Compulsivo],Chile,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb7991239,,Spanish,,,"N7433.4.C675 G8 2014","Art Library",,,,,,,Compulsivo,"Artists' Books Collection"
1304,MVUQWD8L,book,"2020-02-16 23:59:03","2020-02-16 23:59:17","Un regalo para Elena",,"2014-00-00 2014","Cazuela Comics","Santiago, Chile",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb7992530,,Spanish,,,"N7433.4.A79 R4 2014","Art Library",,,,,,,"1988- Asertijo","Artists' Books Collection"
1305,WIUR4LIW,book,"2020-02-16 23:58:26","2020-02-16 23:58:43","Enjoyable conversations in Glasgow",,"2014-00-00 2014","We Studio Press",Glasgow,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb7992506,,English,,,"N7433.4.K472 E65 2014","Art Library",,,,,,,"David Peter Kerr","Artists' Books Collection"
1306,T2EDYSGD,book,"2020-02-16 23:57:43","2020-02-16 23:58:08","The Anderson family's proportionate relationship to various beasts",,"2014-00-00 2014","David Peter Kerr","Glasgow, Scotland",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb7992515,,English,,,"N7433.4.K472 A63 2014","Art Library",,,,,,,"David Peter Kerr","Artists' Books Collection"
1325,CCS3Z546,book,"2023-09-13 15:29:07","2023-09-13 15:29:38","Álbum",,"2021-00-00 2021","Grace & Grotesque Press","[Place of publication not identified]",,,,,,,,978-0-578-73386-9,,https://catalog.lib.unc.edu/catalog/UNCb11578790,,,,,,,,,,,,,"J. J. Daneri","Artists' Books Collection; To be photographed"
1330,PCRFENN3,book,"2023-08-23 14:42:38","2023-08-23 14:42:38","Spiders in motion, rainy commotion : (an ongoing collection of proverbs)",,"2023-00-00 2023","Madrid, Spain : Ivorypress, [2023]",,,,,,,,,978-84-122792-8-3,,https://catalog.lib.unc.edu/trln/UNCb11577267,,,"Spiders in motion, rainy commotion",,,,,,,,,,"Tomás Saraceno","Artists' Books Collection; To be photographed"
1334,D6SIT9CG,book,"2023-06-23 19:34:40","2023-06-23 19:35:15","Editorial efímera : catálogo razonado",,"2020-00-00 2020","Naranja Publicaciones","Santiago, Chile",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11338083,,,"Editorial efímera",,,,,,,,,,,"Artists' Books Collection; Jstor Artist Books"
1335,QJ4TC2ID,book,"2023-06-23 19:24:53","2023-06-23 19:24:53","The i of the storm",,"2018-00-00 2018","[Brooklyn, New York] : [Booklyn Artists Alliance], [2018]",,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11465743,,,,,,,,,,,,,"Marshall Weber","Artists' Books Collection; To be photographed"
1336,BQZRQGM2,book,"2023-06-02 17:57:26","2023-06-02 17:57:26","Sterling Ruby : LA/BJ = 斯特林。鲁比 : 洛杉矶/北京 / Sterling Ruby : LA/BJ = Sitelin Lubi : Luoshanji / Beijing",,"2014-00-00 2014","Beijing : Ullens Center for Contemporary Art ; London : Koenig Books, 2014.",,,,,"Ullens Center for Contemporary Art - LA Artist Series",,,,978-3-86335-621-7,,https://catalog.lib.unc.edu/catalog/UNCb11251597,,,"Sterling Ruby",,,,,,,,,,"Sterling Ruby","Artists' Books Collection"
1337,3YW88G5W,book,"2023-06-02 17:56:02","2023-06-02 17:56:02","Ryan Trecartin : yet",,"2014-00-00 2014","Beijing : Ullens Center for Contemporary Art ; London : Koenig Books, [2014]",,,,,"Ullens Center for Contemporary Art - LA Artist Series",,,,978-3-86335-626-2,,https://catalog.lib.unc.edu/catalog/UNCb11251596,,,"Ryan Trecartin",,,,,,,,,,"Ryan Trecartin","Artists' Books Collection"
1347,ZASKW9YF,book,"2020-02-06 18:41:14","2023-04-27 15:12:01","Yonder woundeful bouy",,"2012-00-00 2012",JAB,Chicago,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb7275320,,English,,,"Bound Serials JAB no.31(Spring 2012) Suppl.","Art Library",,,,,,,"Kevin Riordan","Artists' Books Collection"
1348,IL549Z67,book,"2022-10-31 16:37:50","2023-04-25 14:49:26","What's happening with momma?",,"1988-00-00 1988","Women's Studio Workshop","Rosendale, N.Y.",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11117151,,,,,"N7433.4.S55 W52 1988",,,,,,,,"Clarissa T. Sligh","Artists' Books Collection; To be photographed"
1359,3KX9RY53,book,"2020-02-13 18:12:42","2023-04-05 16:08:38","Various effects of coffee on the body",,"2013-00-00 2013","Center for Book et Paper Art, Columbia College",Chicago,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8167422,,English,,,"Bound Serials JAB no.35(Spring 2014) Suppl.","Art Library",,,,,,,"Levi Sherman","Artists' Books Collection"
1361,E47G3XSQ,book,"2020-03-25 15:57:58","2023-04-03 16:49:52","The square","160 unnumbered pages : chiefly illustrations ; 12 cm","2014-00-00 2014","Islam Aly","Iowa City, Iowa",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8526020,,,,,"N7433.4.A488 S68 2014",,,,,,,,"Islam Aly","Artists' Books Collection; EDUC 567 - 2020"
1362,K8L9Y4L9,book,"2020-03-06 18:42:54","2023-04-03 16:43:58","The Situationist times : international Boo-Hooray edition",,,,,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb7615862,"2020-03-06 18:42:54",,,,"N6494.I58 S58 2012",,,,,,,,"Johan Kugelberg; Jacqueline de Jong","Artists' Books Collection"
1363,9ZHBNXBJ,book,"2021-09-15 18:15:04","2023-04-03 16:03:17","The perfect man",,"2017-00-00 2017","Madrid : La Fábrica 2017.",,,,,,,,,978-84-17048-39-6,,https://catalog.lib.unc.edu/catalog/UNCb9340846,,,,,"TR647 .D426 2017",,,,,,,,"texts and drawings : Cristina de Middel photographs","Artists' Books Collection"
1364,CUBVR2YD,book,"2021-09-21 17:32:14","2023-03-30 14:54:42","The fortune teller",,"2016-00-00 2016","[Portland, Oregon] : Ochre (art   design), 2016.",,,,"Second printing.",,,,,,,https://catalog.lib.unc.edu/catalog/UNCb9236354,,,,,"N7433.4.G87 F67 2016",,,,,,,,"designed and digitally printed by Malini Gupta","Artists' Books Collection"
1365,7DQDXGMM,book,"2021-11-04 17:30:48","2023-03-29 14:51:16","Swatch book",,"2018-00-00 2018","[Boone, NC] : Tricia Treacy, [2018]",,,,"First edition.",,,,,,,https://catalog.lib.unc.edu/catalog/UNCb9826234,,,,,"N7433.4.T74 S93 2018",,,,,,,,"Sanford Biggers Tricia Treacy ; contributors include Chiara Barzini","Artists' Books Collection; To be photographed"
1366,73K2MFVS,book,"2020-03-25 18:13:21","2023-03-29 14:01:22",Still.,"28 unnumbered pages : illustrations (some color) ; 30 cm","2015-00-00 2015","Jenna Rodriguez","Aurora, N.Y.",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8681765,,,,,"N7433.4.R6355 S8 2015",,,,,,,,"Jenna Rodriguez; Cosmo Carelli; Nicholas Rodriguez","Artists' Books Collection; ENGL 123 - Intro to Fiction Writing"
1368,7DW84IIA,book,"2022-11-02 18:48:16","2023-03-27 14:44:00","She feels your absence deeply : a family history woodblock",,"2021-00-00 2021","Women's Studio Workshop","Rosendale, NY",,,,,,,,978-1-943039-27-2,,https://catalog.lib.unc.edu/catalog/UNCb11186230,,,"She feels your absence deeply",,"Undersize N7433.4.A295 S5 2021",,,,,,,,"Golnar Adili","Artists' Books Collection; To be photographed"
1369,QXLUBH75,book,"2020-02-17 18:25:42","2023-03-23 15:44:54",Saga,,"2015-00-00 2015","Center for the Book, Paper and Print Arts, Columbia College",Chicago,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8550038,,English,,,"Bound Serials JAB no.38(Fall 2015) Suppl.","Art Library",,,,,,,"Scott McCarney; Skúta Helgason","Artists' Books Collection"
1370,TZETAWX9,book,"2019-12-09 15:35:18","2023-03-23 15:32:04","Royal road test",,"1967-00-00 1967","G. Wittenborn","New York",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb1002457,,,,,"N7433.4.W54 A4 1967",,,,,,,,"Mason Williams; Patrick Blackwell; Edward Ruscha","Artists' Books Collection"
1371,HZJNY8X8,book,"2020-03-25 15:57:55","2023-03-22 14:03:57","Promises kept","15 leaves ; 20 cm.","2005-00-00 2005","Fernwerks /",Minneapolis,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb4870129,,,,,"N7433.4.F45 P6 2005",,,,,,,,"Wendy Fernstrum","Artists' Books Collection; EDUC 567 - 2020; 2000-07"
1381,PZMP4D9N,book,"2022-10-31 19:53:20","2023-03-08 15:30:05",Pan-pan,,"2021-00-00 2021","Punctum Books",[California],,,,,,,,978-1-953035-60-8,,https://catalog.lib.unc.edu/catalog/UNCb11168774,,,,,"N7433.4.C66 P36 2021",,,,,,,,"Confraternity of Neoflagellants","Artists' Books Collection"
1382,U64L9DKA,book,"2020-03-25 15:57:56","2023-03-07 15:07:29","Memory loss","1 sheet : col. ill. ; 115 x 57 cm. folded to 7 x 57 cm.","1988-00-00 1988","S.L. McCarney","Rochester, NY (22 Cayuga St., Rochester, NY, 14620)",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2262050,,,,,"N7433.4.M33 A4 1988",,,,,,,,"Scott McCarney","Artists' Books Collection; EDUC 567 - 2020"
1383,HIFRB5YN,book,"2020-02-18 16:58:13","2023-03-01 14:43:06","Fragments : from the stacked deck.",,"1995-00-00 1995","Nexus Press","Atlanta, Ga.",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2794742,,English,,,"N7433.4.A52 F7 1995","Art Library",,,,,,,"Judy (Judy M.) Anderson; Nexus Press","Artists' Books Collection"
1385,DVBP2ZX8,book,"2023-02-22 15:56:06","2023-02-22 15:57:19","Zoológico",,"2014-00-00 2014","Matanzas, Cuba : Ediciones Vigía, 2014.",,,,,"Colección del San Juan",,,,,,https://catalog.lib.unc.edu/catalog/UNCb7981183,,,,,"N7433.4.V35 Z6 2014",,,,,,,,"Isván Alvarez Herrera; Agustina Ponce; Elizabeth Valero","Artists' Books Collection"
1386,BRL4VTNW,book,"2023-02-22 15:53:23","2023-02-22 15:53:42","Xeno : Fremd  copy-book",,"1992-00-00 1992","Halle, Saale : Poetry Factory, 1992",,,,"Author edition",,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11351289,,,Xeno,,"N7433.4.D45 X46 1992",,,,,,,,"Guillermo Deisler","Artists' Books Collection; To be photographed"
1387,DSGC78FH,book,"2023-02-22 15:49:54","2023-02-22 15:50:27","With God on our side",,"2017-00-00 2017","[Chicago, Ill.] : [Center for Book, Paper, & Print, Columbia College] : JAB Books, 2017.",,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb9743548,,,,,"Bound Serials JAB no.43(Spring 2018) Suppl.",,,,,,,,"Judy Barrass","Artists' Books Collection"
1388,EWKRJEHT,book,"2020-02-17 00:51:19","2023-02-22 15:46:43","Wall to wall",,"2016-00-00 2016","Columbia College, Center for Book and Paper Arts",Chicago,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8455620,,English,,,"Bound Serials JAB no.39(Spring 2016) Suppl.","Art Library",,,,,,,"Lyn, 1953- Ashby","Artists' Books Collection"
1389,T5BY6GL3,book,"2023-02-22 15:39:26","2023-02-22 15:39:54",(Untitled),,"2018-00-00 2018","[New York, NY] : Hardworking Goodlooking, 2018",,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb9724967,,,,,"N7433.4.R48 U58 2018",,,,,,,,"Miko Revereza","Artists' Books Collection; Jstor Artist Books"
1390,S59MHBI8,book,"2020-02-13 18:30:11","2023-02-22 15:27:56","Switching places",,"2014-00-00 2014","Center for Book et Paper Art, Columbia College",Chicago,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8168693,,English,,,"Bound Serials JAB no.35(Spring 2014) Suppl.","Art Library",,,,,,,"Marlene MacCallum; Jessica, 1972- Grant; Lisa, 1964- Moore; David Morrish","Artists' Books Collection"
1391,YNQJLSJE,book,"2023-02-22 15:22:16","2023-02-22 15:23:48","Stamps book",,"1992-00-00 1992","Santiago : Grafito Ediciones, 2015.",,,,"Reedición facsimilar.",,,,,978-956-9356-03-2,,https://catalog.lib.unc.edu/catalog/UNCb11338091,,,,,"N7433.4.D45 S83 2015",,,,,,,,"Guillermo Deisler","Artists' Books Collection; To be photographed"
1392,9JIPJR8D,book,"2023-02-22 15:12:59","2023-02-22 15:13:57","The skirted garden : 20 years of images",,"1990-00-00 1990","Urbana, Ill. : Inky Press Productions, c1990.",,,,,,,,,978-0-930810-04-7,,https://catalog.lib.unc.edu/catalog/UNCb2390641,,,"The skirted garden",,"N7433.4.N425 S64 1990",,,,,,,,"Bea Nettles","Artists' Books Collection"
1393,ZRI35ZSH,book,"2020-02-03 17:59:39","2023-02-22 15:13:48","The skirted garden : 20 years of images",,"1990-00-00 1990","Inky Press Productions","Urbana, Ill.",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb2390641,,English,,,"TR654 .N4193 1990","Art Library",,,,,,,"Bea Nettles","Artists' Books Collection"
1394,63G4CRVN,book,"2023-02-22 15:04:01","2023-02-22 15:10:00","Sistema de riego",,"2008-00-00 2008","Mexico, D.F. : MoNDAo corp., c2008.",,,,"1a ed.","MoNDAo corp. ediciones ; 4",,,,978-970-95621-3-2,,https://catalog.lib.unc.edu/catalog/UNCb5924387,,,,,"N7433.4.M625 A1 no.4",,,,,,,,"Aníbal Catalán; Luis Carlos Hurtado Hernández; Verónica Gerber","Artists' Books Collection"
1395,B3JDEZ2U,book,"2023-02-21 18:10:43","2023-02-21 18:11:02","Service : a trilogy on colonization",,"1978-00-00 1978","New York : Printed Matter, c1978.",,,,,,,,,978-0-89439-007-4,,https://catalog.lib.unc.edu/catalog/UNCb1547839,,,Service,,"N7433.4 .R675 1978",,,,,,,,"Martha Rosler","Artists' Books Collection"
1396,2BZGKIF4,book,"2023-02-21 17:19:54","2023-02-21 17:20:10","Poemas visuales",,"2005-00-00 2005","Buenos Aires, Argentina : Asunto Impreso Ediciones : VOX, c2005.",,,,,,,,,978-950-533-010-2,,https://catalog.lib.unc.edu/catalog/UNCb4848562,,,,,"N7433.4.P25 P65 2005",,,,,,,,"Clemente Padín","Artists' Books Collection"
1397,UMK6A4YQ,book,"2023-02-21 17:18:56","2023-02-21 17:19:21","Poemas visivos y proposiciones a realizar",,"1972-00-00 1972","Santiago, Chile : Naranja Ediciones, 2022",,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11338086,,,,,"N7433.4.D45 P64 2022",,,,,,,,"Guillermo Deisler","Artists' Books Collection; To be photographed"
1398,T57IJ64X,book,"2023-02-21 17:11:08","2023-02-21 17:11:48","The past is better than the present and the future is nowhere",,"2017-00-00 2017","Chicago : Center for Book and Paper Arts, Columbia College, 2017.",,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb9743536,,,,,"Bound Serials JAB no.42(Fall 2017) Suppl.",,,,,,,,"Chris George","Artists' Books Collection"
